GWI_ID,Date_time,Num_etape,DTW_1,DTW_2,Tape_error,Comments,original_timestamp_ms,timestamp_utc,timestamp_local
TN017_000004,2021-08-12 16:45:00.000,1_275959,33.0,33.0,-0.01,Captured later by Sri ,1628786700000,2021-08-12 16:45:00,2021-08-12 11:45:00 -0500
TN017_000004,2021-08-12 16:50:00.000,1_275959,33.09,33.09,-0.01,Captured later by Sri ,1628787000000,2021-08-12 16:50:00,2021-08-12 11:50:00 -0500
TN017_000004,2021-08-12 17:00:00.000,1_275959,33.27,33.27,-0.01,Captured later by Sri ,1628787600000,2021-08-12 17:00:00,2021-08-12 12:00:00 -0500
TN017_000004,2021-08-12 17:05:00.000,1_275959,33.36,33.36,-0.01,Captured later by Sri ,1628787900000,2021-08-12 17:05:00,2021-08-12 12:05:00 -0500
TN017_000004,2021-08-12 17:10:00.000,1_275959,33.45,33.45,-0.01,Captured later by Sri ,1628788200000,2021-08-12 17:10:00,2021-08-12 12:10:00 -0500
TN017_000004,2021-08-12 17:15:00.000,1_275959,33.54,33.54,-0.01,Captured later by Sri ,1628788500000,2021-08-12 17:15:00,2021-08-12 12:15:00 -0500
TN017_000004,2021-08-12 17:20:00.000,1_275959,33.63,33.63,-0.01,Captured later by Sri ,1628788800000,2021-08-12 17:20:00,2021-08-12 12:20:00 -0500
TN017_000004,2021-08-12 17:25:00.000,1_275959,33.72,33.72,-0.01,Captured later by Sri ,1628789100000,2021-08-12 17:25:00,2021-08-12 12:25:00 -0500
TN017_000004,2021-08-12 17:30:00.000,1_275959,33.81,33.81,-0.01,Captured later by Sri ,1628789400000,2021-08-12 17:30:00,2021-08-12 12:30:00 -0500
TN017_000004,2021-08-12 17:40:00.000,1_275959,33.97,33.97,-0.01,Captured by Sri ,1628790000000,2021-08-12 17:40:00,2021-08-12 12:40:00 -0500
TN017_000004,2021-08-12 17:45:00.000,1_275959,34.05,34.05,-0.01,Captured later by Sri ,1628790300000,2021-08-12 17:45:00,2021-08-12 12:45:00 -0500
TN017_000004,2021-08-12 17:50:00.000,1_275959,34.14,34.14,-0.01,Captured later by Sri ,1628790600000,2021-08-12 17:50:00,2021-08-12 12:50:00 -0500
TN017_000004,2021-08-12 17:55:00.000,1_275959,34.22,34.22,-0.01,Captured by Sri ,1628790900000,2021-08-12 17:55:00,2021-08-12 12:55:00 -0500
TN017_000004,2021-08-12 18:00:00.000,1_275959,34.3,34.3,-0.01,Captured by Sri ,1628791200000,2021-08-12 18:00:00,2021-08-12 13:00:00 -0500
